Year,Rank,Company,Ticker,MarketCap_BillionsUSD,ticker,sector,displayName
1989,1,EXXON MOBIL CORPORATION,XOM,62.58,XOM,Energy,EXXON MOBIL CORP
1989,2,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,52.03,IBM,Information Technology,INTERNATIONAL BUSINESS MACHINES CORP
1989,3,LOEWS CORPORATION,L,44.59,L,Financials,LOEWS CORP
1989,4,RTX CORPORATION,0R2N,34.67,RTX,Industrials,RTX CORP
1989,5,BRISTOL-MYERS SQUIBB CO,BMY,28.01,BMY,Health Care,BRISTOL-MYERS SQUIBB CO
1989,6,"MERCK & CO., INC.",MRK,27.68,MRK,Health Care,"MERCK & CO., INC."
1989,7,THE COCA-COLA COMPANY,KO,26.37,KO,Consumer Staples,THE COCA-COLA COMPANY
1989,8,WALMART INC.,WMT,25.4,WMT,Consumer Staples,WALMART INC.
1989,9,THE PROCTER & GAMBLE COMPANY,PG,23.01,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
1989,10,VERIZON COMMUNICATIONS INC.,VZ,19.81,VZ,Communication Services,VERIZON COMMS INC.
1989,11,JOHNSON & JOHNSON,JNJ,19.77,JNJ,Health Care,JOHNSON & JOHNSON
1989,12,ELI LILLY AND COMPANY,LLY,19.05,LLY,Health Care,ELI LILLY AND COMPANY
1989,13,GENERAL ELECTRIC COMPANY,GE,18.65,GE,Industrials,GENERAL ELECTRIC COMPANY
1989,14,"PEPSICO, INC.",PEP,16.86,PEP,Consumer Staples,"PEPSICO, INC."
1989,15,THE WALT DISNEY COMPANY,DIS,15.17,DIS,Communication Services,THE WALT DISNEY COMPANY
1989,16,AT&T INC.,T,14.47,T,Communication Services,AT&T INC.
1989,17,3M COMPANY,MMM,14.38,MMM,Industrials,3M COMPANY
1989,18,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,14.14,AIG,Financials,"AMERICAN INTERNATIONAL GROUP, INC."
1989,19,THE BOEING COMPANY,BA,13.68,BA,Industrials,THE BOEING COMPANY
1989,20,MCDONALD'S CORPORATION,MCD,12.76,MCD,Consumer Discretionary,MCDONALD'S CORP
1990,1,EXXON MOBIL CORPORATION,XOM,64.43,XOM,Energy,EXXON MOBIL CORP
1990,2,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,61.67,IBM,Information Technology,INTERNATIONAL BUSINESS MACHINES CORP
1990,3,WALMART INC.,WMT,34.23,WMT,Consumer Staples,WALMART INC.
1990,4,BRISTOL-MYERS SQUIBB CO,BMY,33.42,BMY,Health Care,BRISTOL-MYERS SQUIBB CO
1990,5,LOEWS CORPORATION,L,32.96,L,Financials,LOEWS CORP
1990,6,"MERCK & CO., INC.",MRK,31.42,MRK,Health Care,"MERCK & CO., INC."
1990,7,THE COCA-COLA COMPANY,KO,31.07,KO,Consumer Staples,THE COCA-COLA COMPANY
1990,8,THE PROCTER & GAMBLE COMPANY,PG,29.82,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
1990,9,RTX CORPORATION,0R2N,29.1,RTX,Industrials,RTX CORP
1990,10,JOHNSON & JOHNSON,JNJ,23.9,JNJ,Health Care,JOHNSON & JOHNSON
1990,11,"PEPSICO, INC.",PEP,20.5,PEP,Consumer Staples,"PEPSICO, INC."
1990,12,ELI LILLY AND COMPANY,LLY,19.57,LLY,Health Care,ELI LILLY AND COMPANY
1990,13,VERIZON COMMUNICATIONS INC.,VZ,19,VZ,Communication Services,VERIZON COMMS INC.
1990,14,GENERAL ELECTRIC COMPANY,GE,15.64,GE,Industrials,GENERAL ELECTRIC COMPANY
